,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
753,1,2,male,0.67,1,1,14.5,S,Second,child,False,C,Southampton,yes,False
754,0,3,male,28.0,0,0,7.7958,S,Third,man,True,C,Southampton,no,True
757,1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
759,0,3,male,41.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True
760,1,3,male,20.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True
761,1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
762,0,3,male,16.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
763,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
764,0,1,male,29.69869565217391,0,0,39.6,C,First,man,True,C,Cherbourg,no,True
765,0,3,female,30.5,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True
766,0,3,male,29.69869565217391,1,0,24.15,Q,Third,man,True,C,Queenstown,no,False
767,0,3,male,32.0,0,0,8.3625,S,Third,man,True,C,Southampton,no,True
768,0,3,male,24.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True
769,0,3,male,48.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True
770,0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True
772,1,2,female,54.0,1,3,23.0,S,Second,woman,False,C,Southampton,yes,False
773,0,3,male,18.0,0,0,7.75,S,Third,man,True,C,Southampton,no,True
774,0,3,male,29.69869565217391,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
775,1,3,female,5.0,0,0,12.475,S,Third,child,False,C,Southampton,yes,True
776,0,3,male,29.69869565217391,0,0,7.7375,Q,Third,man,True,C,Queenstown,no,True
777,1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
778,1,3,female,13.0,0,0,7.2292,C,Third,child,False,C,Cherbourg,yes,True
779,1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
780,0,1,male,29.0,0,0,30.0,S,First,man,True,D,Southampton,no,True
781,0,3,male,29.69869565217391,1,2,23.45,S,Third,man,True,C,Southampton,no,False
782,0,3,male,25.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True
783,0,3,male,25.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
784,1,3,female,18.0,0,0,7.4958,S,Third,woman,False,C,Southampton,yes,True
785,0,3,male,8.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False
786,1,3,male,1.0,1,2,20.575,S,Third,child,False,C,Southampton,yes,False
787,0,1,male,46.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
789,0,2,male,16.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True
791,0,1,male,29.69869565217391,0,0,30.6958,C,First,man,True,C,Cherbourg,no,True
792,0,3,male,25.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
793,0,2,male,39.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
794,1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
795,1,3,female,31.0,0,0,8.6833,S,Third,woman,False,C,Southampton,yes,True
796,0,3,male,30.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True
797,0,3,female,30.0,1,1,24.15,S,Third,woman,False,C,Southampton,no,False
799,1,2,female,31.0,1,1,26.25,S,Second,woman,False,C,Southampton,yes,False
800,1,1,male,11.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
801,1,3,male,0.42,0,1,8.5167,C,Third,child,False,C,Cherbourg,yes,False
802,1,3,male,27.0,0,0,6.975,S,Third,man,True,C,Southampton,yes,True
803,0,3,male,31.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
804,0,1,male,39.0,0,0,0.0,S,First,man,True,A,Southampton,no,True
805,0,3,female,18.0,0,0,7.775,S,Third,woman,False,C,Southampton,no,True
807,1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False
808,0,3,male,26.0,0,0,7.8875,S,Third,man,True,C,Southampton,no,True
809,0,3,male,39.0,0,0,24.15,S,Third,man,True,C,Southampton,no,True
810,0,2,male,35.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
811,0,3,female,6.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False
812,0,3,male,30.5,0,0,8.05,S,Third,man,True,C,Southampton,no,True
813,0,1,male,29.69869565217391,0,0,0.0,S,First,man,True,B,Southampton,no,True
814,0,3,female,23.0,0,0,7.925,S,Third,woman,False,C,Southampton,no,True
815,0,2,male,31.0,1,1,37.0042,C,Second,man,True,C,Cherbourg,no,False
816,0,3,male,43.0,0,0,6.45,S,Third,man,True,C,Southampton,no,True
817,0,3,male,10.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False
818,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
819,1,3,male,27.0,0,0,8.6625,S,Third,man,True,C,Southampton,yes,True
820,0,1,male,38.0,0,0,0.0,S,First,man,True,C,Southampton,no,True
821,1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False
822,0,3,male,2.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False
823,0,3,male,29.69869565217391,0,0,6.95,Q,Third,man,True,C,Queenstown,no,True
824,0,3,male,29.69869565217391,0,0,56.4958,S,Third,man,True,C,Southampton,no,True
825,1,2,male,1.0,0,2,37.0042,C,Second,child,False,C,Cherbourg,yes,False
826,1,3,male,29.69869565217391,0,0,7.75,Q,Third,man,True,C,Queenstown,yes,True
828,1,3,female,15.0,1,0,14.4542,C,Third,child,False,C,Cherbourg,yes,False
829,1,2,male,0.83,1,1,18.75,S,Second,child,False,C,Southampton,yes,False
831,0,3,male,23.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True
832,0,3,male,18.0,0,0,8.3,S,Third,man,True,C,Southampton,no,True
833,1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
834,0,3,male,21.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True
837,1,1,male,29.69869565217391,0,0,29.7,C,First,man,True,C,Cherbourg,yes,True
838,0,3,male,20.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True
839,0,2,male,16.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
840,1,1,female,30.0,0,0,31.0,C,First,woman,False,C,Cherbourg,yes,True
841,0,3,male,34.5,0,0,6.4375,C,Third,man,True,C,Cherbourg,no,True
843,0,3,male,42.0,0,0,7.55,S,Third,man,True,C,Southampton,no,True
845,0,3,male,35.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True
846,0,2,male,28.0,0,1,33.0,S,Second,man,True,C,Southampton,no,False
847,1,1,female,29.69869565217391,1,0,89.1042,C,First,woman,False,C,Cherbourg,yes,False
848,0,3,male,4.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False
849,0,3,male,74.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
850,0,3,female,9.0,1,1,15.2458,C,Third,child,False,C,Cherbourg,no,False
851,1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
852,0,2,female,44.0,1,0,26.0,S,Second,woman,False,C,Southampton,no,False
853,1,3,female,18.0,0,1,9.35,S,Third,woman,False,C,Southampton,yes,False
854,1,1,female,45.0,1,1,164.8667,S,First,woman,False,C,Southampton,yes,False
855,1,1,male,51.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
856,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,C,Cherbourg,yes,False
858,0,3,male,41.0,2,0,14.1083,S,Third,man,True,C,Southampton,no,False
859,0,2,male,21.0,1,0,11.5,S,Second,man,True,C,Southampton,no,False
860,1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
862,0,2,male,24.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
863,1,2,female,42.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
864,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,C,Cherbourg,yes,False
865,0,1,male,31.0,0,0,50.4958,S,First,man,True,A,Southampton,no,True
866,0,3,male,29.69869565217391,0,0,9.5,S,Third,man,True,C,Southampton,no,True
867,1,3,male,4.0,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False
869,1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
870,0,1,male,33.0,0,0,5.0,S,First,man,True,B,Southampton,no,True
871,0,3,male,47.0,0,0,9.0,S,Third,man,True,C,Southampton,no,True
872,1,2,female,28.0,1,0,24.0,C,Second,woman,False,C,Cherbourg,yes,False
873,1,3,female,15.0,0,0,7.225,C,Third,child,False,C,Cherbourg,yes,True
874,0,3,male,20.0,0,0,9.8458,S,Third,man,True,C,Southampton,no,True
877,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
878,1,2,female,25.0,0,1,26.0,S,Second,woman,False,C,Southampton,yes,False
879,0,3,male,33.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
880,0,3,female,22.0,0,0,10.5167,S,Third,woman,False,C,Southampton,no,True
881,0,2,male,28.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
883,0,3,female,39.0,0,5,29.125,Q,Third,woman,False,C,Queenstown,no,False
885,1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
886,0,3,female,29.69869565217391,1,2,23.45,S,Third,woman,False,C,Southampton,no,False
887,1,1,male,26.0,0,0,30.0,C,First,man,True,C,Cherbourg,yes,True
888,0,3,male,32.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True
